.	city_names
Arizona	USA
Boston	USA
California	USA
Connecticut	USA
Illinois	USA
Indiana	USA
Iowa	USA
Kansas	USA
Los Angeles	USA
Massachusetts	USA
Maryland	USA
Michigan	USA
Minnesota	USA
Missouri	USA
Nebraska	USA
New York	USA
Pennsylvania	USA
Tennessee	USA
Texas	USA
Utah	USA
Ohio	USA
Vermont	USA
Virginia	USA
Washington	USA
South Carolina	USA
New Jersey	USA
Cold Spring Harbor	USA
Pittsburgh	USA
Cornell University	USA
Bethesda	USA

Howard Hughes	USA
Baylor College of Medicine	USA
Yale School	USA
Larner College	USA

Scotland	UK
London	UK
Cambridge	UK
York	UK
Bristol	UK
Harwell	UK

Bijvoet Center	The Netherlands
Switzerland	Switzerland
Madrid	Spain

British Columbia	Canada
Vancouver	Canada
Calgary	Canada
Canada	Canada


Dortmund	Germany
Max Planck Institute	Germany
Frankfurt	Germany
Hamburg	Germany

ERATO, JST	Japan
Beijing	China
Hong Kong	China

Democratic Republic of the Congo	Congo

.	
